episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
12468, 	0.100000, 	0.113676, 	-0.021006, 	0.001348, 	1.359759
12469, 	0.100000, 	0.067659, 	-0.036406, 	0.001042, 	1.360603
12470, 	0.400000, 	0.349289, 	0.004787, 	0.003446, 	1.360605
12471, 	0.400000, 	0.148183, 	-0.097365, 	0.002457, 	1.359223
12472, 	0.100000, 	0.066806, 	-0.026519, 	0.000935, 	1.359004
12473, 	0.100000, 	0.194834, 	-0.082230, 	0.002772, 	1.360626
12474, 	0.100000, 	0.011285, 	-0.003733, 	0.000152, 	1.360875
12475, 	0.090000, 	0.130288, 	-0.021907, 	0.001523, 	1.360928
12476, 	0.100000, 	0.030403, 	-0.024558, 	0.000551, 	1.362669
12477, 	0.100000, 	0.037862, 	-0.033962, 	0.000720, 	1.363206
12478, 	0.100000, 	0.009830, 	0.001466, 	0.000085, 	1.364739
12479, 	0.100000, 	0.036733, 	-0.030151, 	0.000670, 	1.365840
12480, 	0.100000, 	0.032319, 	-0.009027, 	0.000415, 	1.367403
12481, 	0.190000, 	0.031707, 	-0.002640, 	0.000345, 	1.369098
12482, 	0.100000, 	0.024004, 	-0.027102, 	0.000512, 	1.369435
12483, 	0.100000, 	0.045975, 	-0.027063, 	0.000732, 	1.369805
12484, 	0.100000, 	0.024838, 	-0.005566, 	0.000305, 	1.370249
12485, 	0.090000, 	0.130739, 	-0.048933, 	0.001798, 	1.370852
12486, 	0.100000, 	-0.001234, 	-0.002775, 	0.000017, 	1.370235
12487, 	0.100000, 	-0.001954, 	-0.016029, 	0.000142, 	1.370865
12488, 	0.100000, 	0.139599, 	-0.026306, 	0.001660, 	1.372430
12489, 	0.090000, 	0.010505, 	-0.014493, 	0.000251, 	1.373243
12490, 	0.100000, 	0.000385, 	-0.001800, 	0.000023, 	1.372135
12491, 	0.100000, 	-0.029235, 	-0.080180, 	0.000511, 	1.372268
12492, 	0.100000, 	0.029350, 	0.017909, 	0.000116, 	1.369273
12493, 	0.190000, 	0.036126, 	-0.008959, 	0.000452, 	1.368626
12494, 	0.100000, 	-0.005308, 	-0.041539, 	0.000364, 	1.368448
12495, 	0.300000, 	0.120562, 	-0.038774, 	0.001595, 	1.363387
12496, 	0.100000, 	0.137728, 	-0.036248, 	0.001741, 	1.363009
12497, 	0.190000, 	0.042280, 	-0.041981, 	0.000844, 	1.364934
12498, 	0.500000, 	0.108404, 	-0.029460, 	0.001380, 	1.359012
12499, 	0.000000, 	0.134181, 	-0.085807, 	0.002201, 	1.359092
